datetime,dish,quantity,price
2025-08-16 08:38:42,Паста с курицей,3,450
2025-08-16 08:42:42,Круассан,3,1533
2025-08-16 16:16:42,Круассан,1,468
2025-08-17 15:57:42,Паста с курицей,2,350
2025-08-18 04:12:42,Борщ,2,950
2025-08-18 04:43:42,Капучино,2,688
2025-08-19 02:16:42,Овсянка с фруктами,3,1137
2025-08-19 02:48:42,Бизнес-ланч,3,1032
2025-08-19 04:26:42,Салат Цезарь,1,530
2025-08-19 18:15:42,Латте,2,1080
2025-08-19 23:09:42,Яичница с беконом,2,986
2025-08-20 11:34:42,Бизнес-ланч,2,1088
2025-08-20 18:39:42,Сэндвич с тунцом,1,491
2025-08-20 19:51:42,Салат Цезарь,1,501
2025-08-20 23:06:42,Салат Цезарь,2,648
2025-08-21 03:44:42,Паста с курицей,1,520
2025-08-21 11:18:42,Капучино,3,1578
2025-08-21 13:21:42,Овсянка с фруктами,3,1374
2025-08-21 19:49:42,Бизнес-ланч,3,822
2025-08-22 04:45:42,Паста с курицей,2,760
2025-08-22 08:40:42,Салат Цезарь,1,304
2025-08-22 09:35:42,Яичница с беконом,1,269
2025-08-22 21:39:42,Яичница с беконом,3,1353
2025-08-23 00:48:42,Сэндвич с тунцом,2,530
2025-08-23 07:39:42,Яичница с беконом,3,1194
2025-08-23 10:22:42,Яичница с беконом,2,378
2025-08-23 11:43:42,Латте,3,564
2025-08-23 18:34:42,Круассан,2,494
2025-08-23 20:43:42,Латте,3,1506
2025-08-24 05:54:42,Американо,3,1623
2025-08-24 12:18:42,Капучино,1,474
2025-08-24 12:55:42,Овсянка с фруктами,1,519
2025-08-24 12:57:42,Паста с курицей,1,498
2025-08-24 23:30:42,Салат Цезарь,1,460
2025-08-25 15:06:42,Паста с курицей,1,409
2025-08-25 17:51:42,Сэндвич с тунцом,1,230
2025-08-25 18:22:42,Латте,1,531
2025-08-25 22:57:42,Сэндвич с тунцом,3,558
2025-08-26 16:32:42,Овсянка с фруктами,1,221
2025-08-26 21:31:42,Паста с курицей,2,940
2025-08-27 00:21:42,Американо,2,658
2025-08-27 02:39:42,Борщ,3,873
2025-08-27 09:20:42,Круассан,1,501
2025-08-27 11:40:42,Паста с курицей,3,1422
2025-08-27 12:52:42,Круассан,2,750
2025-08-27 14:52:42,Бизнес-ланч,3,1572
2025-08-28 23:05:42,Круассан,2,1068
2025-08-29 01:10:42,Бизнес-ланч,3,450
2025-08-29 07:33:42,Яичница с беконом,1,370
2025-08-29 12:39:42,Сэндвич с тунцом,3,1014
2025-08-29 17:08:42,Салат Цезарь,1,333
2025-08-30 07:09:42,Овсянка с фруктами,3,1215
2025-08-30 23:41:42,Круассан,2,752
2025-08-30 23:51:42,Борщ,2,326
2025-08-31 01:56:42,Американо,2,826
2025-08-31 10:50:42,Овсянка с фруктами,2,634
2025-09-01 00:23:42,Латте,3,852
2025-09-01 05:24:42,Салат Цезарь,3,573
2025-09-01 09:00:42,Бизнес-ланч,2,1070
2025-09-01 15:01:42,Яичница с беконом,1,260
2025-09-01 16:01:42,Латте,1,279
2025-09-02 07:51:42,Бизнес-ланч,2,628
2025-09-02 21:42:42,Бизнес-ланч,2,778
2025-09-03 14:31:42,Овсянка с фруктами,1,410
2025-09-04 06:58:42,Яичница с беконом,1,374
2025-09-04 08:24:42,Салат Цезарь,1,493
2025-09-05 03:38:42,Салат Цезарь,1,403
2025-09-05 04:39:42,Яичница с беконом,3,1506
2025-09-05 05:41:42,Американо,2,652
2025-09-05 09:23:42,Борщ,2,840
2025-09-06 16:00:42,Сэндвич с тунцом,2,446
2025-09-06 16:20:42,Латте,3,1440
2025-09-07 03:05:42,Круассан,1,445
2025-09-07 07:16:42,Салат Цезарь,1,277
2025-09-08 02:59:42,Круассан,2,978
2025-09-08 12:52:42,Борщ,3,1398
2025-09-08 19:32:42,Сэндвич с тунцом,3,1317
2025-09-09 01:26:42,Капучино,1,197
2025-09-09 01:57:42,Борщ,1,347
2025-09-09 05:02:42,Яичница с беконом,1,151
2025-09-09 09:15:42,Паста с курицей,2,660
2025-09-09 14:01:42,Паста с курицей,1,207
2025-09-09 16:31:42,Яичница с беконом,3,1401
2025-09-09 21:55:42,Американо,3,957
2025-09-10 07:15:42,Борщ,2,630
2025-09-11 05:50:42,Латте,3,1179
2025-09-11 10:47:42,Капучино,1,300
2025-09-11 13:02:42,Борщ,2,306
2025-09-11 14:55:42,Яичница с беконом,1,476
2025-09-11 18:01:42,Американо,1,265
2025-09-11 22:13:42,Сэндвич с тунцом,2,466
2025-09-11 22:54:42,Капучино,3,1554
2025-09-12 01:18:42,Американо,2,558
2025-09-12 11:21:42,Паста с курицей,1,343
2025-09-12 16:56:42,Бизнес-ланч,1,246
2025-09-12 18:21:42,Овсянка с фруктами,1,376
2025-09-12 22:54:42,Борщ,3,1476
2025-09-13 11:08:42,Капучино,3,1278
2025-09-13 17:35:42,Паста с курицей,3,978
2025-09-13 18:14:42,Сэндвич с тунцом,1,438
2025-09-13 22:00:42,Паста с курицей,1,285
2025-09-13 23:46:42,Сэндвич с тунцом,3,1203
2025-09-14 01:42:42,Капучино,2,604
2025-09-14 20:37:42,Круассан,1,355
2025-09-14 20:38:42,Капучино,2,644
2025-09-14 22:52:42,Латте,1,301
2025-09-15 02:17:42,Овсянка с фруктами,2,746
2025-09-15 03:02:42,Паста с курицей,1,503
2025-09-15 08:04:42,Американо,1,443
2025-09-15 13:50:42,Американо,1,206
2025-09-16 00:42:42,Сэндвич с тунцом,2,1078
2025-09-16 10:13:42,Паста с курицей,1,179
2025-09-17 20:16:42,Салат Цезарь,3,1611
2025-09-17 21:25:42,Сэндвич с тунцом,2,584
2025-09-18 05:46:42,Салат Цезарь,2,508
2025-09-18 16:27:42,Борщ,2,516
2025-09-19 03:26:42,Латте,1,487
2025-09-19 06:32:42,Капучино,2,906
2025-09-19 10:20:42,Латте,1,260
2025-09-19 14:12:42,Овсянка с фруктами,3,855
2025-09-19 19:20:42,Круассан,2,382
2025-09-20 00:10:42,Капучино,3,930
2025-09-20 01:05:42,Круассан,2,362
2025-09-20 05:20:42,Овсянка с фруктами,3,678
2025-09-21 01:47:42,Овсянка с фруктами,3,786
2025-09-21 05:52:42,Капучино,3,741
2025-09-21 08:24:42,Овсянка с фруктами,3,948
2025-09-21 09:24:42,Овсянка с фруктами,1,383
2025-09-21 18:03:42,Паста с курицей,2,1064
2025-09-22 00:39:42,Сэндвич с тунцом,1,192
2025-09-23 01:34:42,Сэндвич с тунцом,2,706
2025-09-23 02:33:42,Капучино,1,390
2025-09-23 19:40:42,Капучино,3,1032
2025-09-23 20:46:42,Бизнес-ланч,3,1062
2025-09-24 02:19:42,Капучино,3,861
2025-09-24 07:42:42,Паста с курицей,3,882
2025-09-24 18:28:42,Капучино,3,573
2025-09-24 22:57:42,Бизнес-ланч,2,1046
2025-09-25 02:09:42,Капучино,2,1052
2025-09-25 04:08:42,Салат Цезарь,2,318
2025-09-25 14:35:42,Яичница с беконом,1,523
2025-09-25 22:17:42,Американо,1,309
2025-09-26 02:24:42,Сэндвич с тунцом,1,423
2025-09-26 07:57:42,Сэндвич с тунцом,3,462
2025-09-26 17:12:42,Паста с курицей,2,776
2025-09-26 22:54:42,Салат Цезарь,3,744
2025-09-27 00:31:42,Салат Цезарь,1,534
2025-09-27 04:40:42,Борщ,1,187
2025-09-27 05:03:42,Латте,1,214
2025-09-27 09:02:42,Салат Цезарь,3,639
2025-09-27 22:46:42,Сэндвич с тунцом,1,227
2025-09-28 09:14:42,Яичница с беконом,3,1200
2025-09-28 20:34:42,Американо,1,529
2025-09-29 01:04:42,Паста с курицей,2,994
2025-09-29 03:50:42,Бизнес-ланч,1,386
2025-09-29 14:18:42,Салат Цезарь,1,365
2025-09-29 19:24:42,Салат Цезарь,2,828
2025-09-29 19:25:42,Паста с курицей,2,524
2025-09-30 00:21:42,Паста с курицей,1,197
2025-09-30 17:35:42,Овсянка с фруктами,2,636
2025-09-30 20:06:42,Овсянка с фруктами,2,416
2025-09-30 20:50:42,Салат Цезарь,1,409
2025-10-01 08:34:42,Бизнес-ланч,2,712
2025-10-01 10:42:42,Паста с курицей,2,978
2025-10-01 12:54:42,Сэндвич с тунцом,2,1040
2025-10-01 14:46:42,Салат Цезарь,1,285
2025-10-01 15:39:42,Американо,1,318
2025-10-02 03:39:42,Овсянка с фруктами,3,1176
2025-10-02 07:21:42,Латте,3,1323
2025-10-03 09:41:42,Борщ,2,598
2025-10-03 12:24:42,Сэндвич с тунцом,1,202
2025-10-03 19:41:42,Латте,3,777
2025-10-04 02:46:42,Яичница с беконом,3,1371
2025-10-04 02:48:42,Яичница с беконом,3,645
2025-10-04 03:15:42,Латте,3,1605
2025-10-04 08:19:42,Бизнес-ланч,2,812
2025-10-04 15:08:42,Круассан,2,612
2025-10-04 18:53:42,Американо,1,488
2025-10-05 00:52:42,Латте,2,480
2025-10-05 14:29:42,Яичница с беконом,1,289
2025-10-06 00:59:42,Бизнес-ланч,2,708
2025-10-06 04:03:42,Яичница с беконом,3,924
2025-10-06 06:10:42,Американо,3,1272
2025-10-07 00:32:42,Овсянка с фруктами,1,386
2025-10-07 10:44:42,Паста с курицей,3,864
2025-10-07 16:34:42,Американо,3,1587
2025-10-07 16:46:42,Салат Цезарь,2,984
2025-10-07 21:14:42,Круассан,2,1040
2025-10-08 16:42:42,Паста с курицей,3,786
2025-10-08 19:51:42,Борщ,2,748
2025-10-09 00:03:42,Яичница с беконом,3,972
2025-10-09 05:43:42,Бизнес-ланч,2,850
2025-10-09 17:22:42,Латте,3,1098
2025-10-11 23:00:42,Паста с курицей,3,1551
2025-10-12 04:14:42,Борщ,3,1455
2025-10-12 05:42:42,Салат Цезарь,2,920
2025-10-12 07:46:42,Американо,2,338
2025-10-12 21:40:42,Латте,3,579
2025-10-13 22:22:42,Салат Цезарь,2,574
2025-10-13 23:26:42,Американо,3,1650
2025-10-14 01:41:42,Овсянка с фруктами,1,162
2025-10-14 04:53:42,Паста с курицей,1,175
2025-10-14 18:28:42,Круассан,1,390
2025-10-14 23:35:42,Круассан,2,612
2025-10-15 08:13:42,Овсянка с фруктами,1,162
2025-10-15 12:08:42,Круассан,1,371
2025-10-15 17:48:42,Капучино,3,1281
2025-10-16 13:04:42,Паста с курицей,3,912
2025-10-16 14:56:42,Салат Цезарь,3,1296
2025-10-17 06:23:42,Сэндвич с тунцом,3,1383
2025-10-17 08:58:42,Капучино,1,166
2025-10-18 00:00:42,Американо,2,724
2025-10-18 02:40:42,Салат Цезарь,1,399
2025-10-18 04:19:42,Овсянка с фруктами,1,292
2025-10-18 19:21:42,Круассан,1,252
2025-10-18 21:38:42,Салат Цезарь,1,413
2025-10-19 02:24:42,Овсянка с фруктами,2,422
2025-10-19 06:48:42,Капучино,3,1452
2025-10-19 07:18:42,Овсянка с фруктами,2,462
2025-10-19 12:35:42,Американо,2,584
2025-10-20 21:12:42,Бизнес-ланч,1,241
2025-10-20 21:41:42,Круассан,1,534
2025-10-21 07:31:42,Сэндвич с тунцом,3,747
2025-10-21 15:20:42,Американо,3,1299
2025-10-21 20:22:42,Паста с курицей,2,860
2025-10-21 20:43:42,Паста с курицей,1,452
2025-10-22 12:43:42,Борщ,1,280
2025-10-22 19:08:42,Капучино,1,344
2025-10-23 08:11:42,Яичница с беконом,1,186
2025-10-23 08:23:42,Круассан,2,902
2025-10-23 17:23:42,Американо,3,906
2025-10-24 21:40:42,Паста с курицей,3,1554
2025-10-24 22:05:42,Овсянка с фруктами,1,240
2025-10-24 23:24:42,Овсянка с фруктами,1,358
2025-10-25 04:58:42,Паста с курицей,3,1509
2025-10-25 19:23:42,Борщ,3,1176
2025-10-25 19:52:42,Американо,1,384
2025-10-26 05:46:42,Сэндвич с тунцом,1,336
2025-10-26 07:31:42,Круассан,1,183
2025-10-26 08:24:42,Овсянка с фруктами,1,453
2025-10-26 08:40:42,Борщ,1,446
2025-10-26 16:32:42,Бизнес-ланч,3,504
2025-10-26 21:46:42,Овсянка с фруктами,3,774
2025-10-26 22:08:42,Овсянка с фруктами,2,1016
2025-10-27 03:07:42,Круассан,3,1554
2025-10-27 05:40:42,Бизнес-ланч,2,382
2025-10-27 18:47:42,Салат Цезарь,1,197
2025-10-28 02:35:42,Паста с курицей,1,245
2025-10-28 02:36:42,Салат Цезарь,3,1155
2025-10-28 06:25:42,Яичница с беконом,1,205
2025-10-29 07:06:42,Борщ,3,687
2025-10-29 21:41:42,Американо,1,301
2025-10-29 23:05:42,Паста с курицей,2,328
2025-10-30 05:40:42,Сэндвич с тунцом,1,181
2025-10-30 05:49:42,Паста с курицей,1,347
2025-10-30 13:49:42,Паста с курицей,3,936
